model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,1024,64,1,3.021100158,111846491992,4100041
llama-1b,input_sweep,1024,64,1,4.028426812,111874652442,4700000
llama-1b,input_sweep,1024,64,1,5.035384899,111902318082,4100041
llama-1b,input_sweep,1024,64,1,6.041966551,111930261248,4100000
llama-1b,input_sweep,1024,64,1,7.048820824,111958021614,4100000
llama-1b,input_sweep,1024,64,1,8.055924706,111985543333,4100000
llama-1b,input_sweep,1024,64,1,9.062627876,112011680900,4099118
llama-1b,input_sweep,1024,64,1,10.070193338,112035098870,400000
llama-1b,input_sweep,1024,64,1,11.077337842,112058289485,4102161
llama-1b,input_sweep,1024,64,2,.000904579,112093996485,400000
llama-1b,input_sweep,1024,64,2,1.007540713,112111814067,400000
llama-1b,input_sweep,1024,64,2,2.014323878,112139696808,4100041
llama-1b,input_sweep,1024,64,2,3.020924206,112167731831,400000
llama-1b,input_sweep,1024,64,2,4.027653675,112195405894,400000
llama-1b,input_sweep,1024,64,2,5.034594346,112223283203,4100041
llama-1b,input_sweep,1024,64,2,6.041561310,112250864248,4099958
llama-1b,input_sweep,1024,64,2,7.048630618,112278142865,400000
llama-1b,input_sweep,1024,64,2,8.055740619,112305865511,400000
llama-1b,input_sweep,1024,64,2,9.063263792,112331899624,400000
llama-1b,input_sweep,1024,64,2,10.070817143,112355099394,4100000
llama-1b,input_sweep,1024,64,2,11.078443308,112378301544,3934773
llama-1b,input_sweep,1024,64,3,.000864221,112415742671,400000
llama-1b,input_sweep,1024,64,3,1.007102406,112434240304,400000
llama-1b,input_sweep,1024,64,3,2.014093527,112462099791,3720678
llama-1b,input_sweep,1024,64,3,3.021647717,112489988453,4100000
llama-1b,input_sweep,1024,64,3,4.028382139,112517977883,4100000
llama-1b,input_sweep,1024,64,3,5.035062590,112546215237,4100000
llama-1b,input_sweep,1024,64,3,6.042229259,112573656329,4100000
llama-1b,input_sweep,1024,64,3,7.049340544,112600724192,4100000
llama-1b,input_sweep,1024,64,3,8.056076056,112628091248,4699952
llama-1b,input_sweep,1024,64,3,9.062994705,112654735895,4102932
llama-1b,input_sweep,1024,64,3,10.070331463,112677871456,400000
llama-1b,input_sweep,1024,64,3,11.077607944,112701375485,4096150
llama-1b,input_sweep,1024,64,4,.000838587,112741684525,399365
llama-1b,input_sweep,1024,64,4,1.007474201,112759385834,400000
llama-1b,input_sweep,1024,64,4,2.014897064,112786998801,4100000
llama-1b,input_sweep,1024,64,4,3.021660554,112814697216,4100000
llama-1b,input_sweep,1024,64,4,4.027993335,112842364443,4100000
llama-1b,input_sweep,1024,64,4,5.035407310,112870061454,4100000
llama-1b,input_sweep,1024,64,4,6.042274298,112897398848,400000
llama-1b,input_sweep,1024,64,4,7.049430295,112925259494,400000
llama-1b,input_sweep,1024,64,4,8.056737063,112952918603,400000
llama-1b,input_sweep,1024,64,4,9.063932798,112979550554,4100000
llama-1b,input_sweep,1024,64,4,10.071087593,113003288591,4099955
llama-1b,input_sweep,1024,64,4,11.078478258,113027219438,4102282
llama-1b,input_sweep,1024,64,5,.000904381,113067116126,400000
llama-1b,input_sweep,1024,64,5,1.006673217,113084901114,755233
llama-1b,input_sweep,1024,64,5,2.013749087,113112666424,3688124
llama-1b,input_sweep,1024,64,5,3.020958056,113140542940,400000
llama-1b,input_sweep,1024,64,5,4.027657206,113168809103,4100000
llama-1b,input_sweep,1024,64,5,5.034509424,113196514781,4100000
llama-1b,input_sweep,1024,64,5,6.041425530,113223979310,400000
llama-1b,input_sweep,1024,64,5,7.048327921,113251594657,400000
llama-1b,input_sweep,1024,64,5,8.055261080,113279224225,400000
llama-1b,input_sweep,1024,64,5,9.062221355,113305187965,4100000
llama-1b,input_sweep,1024,64,5,10.069688016,113328269510,4100000
