strategy,elapsed_s,energy_uj,cpu_freq_khz
top_k,20.177007268,173947804997,400000
top_k,.000850990,173989459493,400000
top_k,1.006618887,174009369415,400000
top_k,2.013774674,174028263165,400000
top_k,3.021516295,174048920400,4100000
top_k,4.028284329,174078581640,4100000
top_k,5.035563219,174108530965,4100000
top_k,6.042789695,174138208257,4100000
top_k,7.049652199,174166230891,4100000
top_k,8.057050415,174189131711,3494200
top_k,9.066979089,174203675009,3300000
top_k,10.077548826,174218120406,3399956
top_k,11.087254750,174232686043,3500360
top_k,12.097144375,174247375824,3399142
top_k,13.106880040,174262056085,400000
top_k,14.116551952,174276791215,3500406
top_k,15.125975885,174291700784,3492063
top_k,16.136221387,174306542177,3500000
top_k,17.146746215,174321352808,3500035
top_k,18.156643892,174336457323,3399965
top_k,19.165713392,174351138926,3500000
