model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,top_p,2,12.111366897,27419233822,2597747
llama-1b,top_p,2,13.121961578,27434044758,2600103
llama-1b,top_p,2,14.132703785,27449118633,2599251
llama-1b,top_p,2,15.143502201,27463956852,2600001
llama-1b,top_p,2,16.154161522,27478979336,2599986
llama-1b,top_p,2,17.164994088,27493986683,2599990
llama-1b,top_p,2,18.175630345,27509035167,2600002
llama-1b,top_p,2,19.186135485,27523355199,2900031
llama-1b,top_p,3,.000818988,27549696928,4440264
llama-1b,top_p,3,1.006620388,27572488984,4524902
llama-1b,top_p,3,2.012603548,27616090740,3700003
llama-1b,top_p,3,3.019948257,27664140300,3800018
llama-1b,top_p,3,4.027413192,27709941818,3200034
llama-1b,top_p,3,5.035946845,27726104985,2600015
llama-1b,top_p,3,6.046614061,27740731534,2599966
llama-1b,top_p,3,7.057327513,27755413443,2599981
llama-1b,top_p,3,8.067867206,27770022475,2700003
llama-1b,top_p,3,9.078415943,27784847999,2599968
llama-1b,top_p,3,10.089445002,27799729247,2599995
llama-1b,top_p,3,11.099946884,27816156085,2899979
llama-1b,top_p,3,12.109723386,27834126620,2899967
llama-1b,top_p,3,13.119688279,27852137987,2894877
llama-1b,top_p,3,14.128801933,27870175966,2899791
llama-1b,top_p,3,15.138842315,27888134660,2899971
llama-1b,top_p,3,16.148401052,27906153901,2900023
llama-1b,top_p,3,17.158463084,27923712084,2799980
llama-1b,top_p,3,18.168701465,27940983951,2799955
llama-1b,top_p,4,.000788360,27974918008,4452216
llama-1b,top_p,4,1.006473478,27997519085,4533163
llama-1b,top_p,4,2.012586664,28041432486,3700599
llama-1b,top_p,4,3.019867856,28088832938,3660769
llama-1b,top_p,4,4.027359162,28134529476,3500008
llama-1b,top_p,4,5.038293837,28151690565,2599981
llama-1b,top_p,4,6.048908126,28166347510,2599978
llama-1b,top_p,4,7.059472997,28181043212,2599991
llama-1b,top_p,4,8.070074226,28195650902,2599984
llama-1b,top_p,4,9.080931066,28210515549,2700006
llama-1b,top_p,4,10.090685472,28225262948,2700071
llama-1b,top_p,4,11.100292206,28240144379,2699988
llama-1b,top_p,4,12.110631206,28255108574,2599962
llama-1b,top_p,4,13.121187315,28269980546,2699898
llama-1b,top_p,4,14.131581451,28284981972,2599963
llama-1b,top_p,4,15.142269814,28299905823,2700147
llama-1b,top_p,4,16.152653788,28314936485,2599961
llama-1b,top_p,4,17.163592078,28329846054,2700454
llama-1b,top_p,4,18.174205474,28344954780,2600486
llama-1b,top_p,5,.000817167,28376368640,4145541
llama-1b,top_p,5,1.006582423,28398356865,4121311
llama-1b,top_p,5,2.012582408,28441969912,3699899
llama-1b,top_p,5,3.019773614,28489853640,3704352
llama-1b,top_p,5,4.027430953,28534830026,2799976
llama-1b,top_p,5,5.038990199,28550096162,2599995
llama-1b,top_p,5,6.049864668,28564823114,2599988
llama-1b,top_p,5,7.060903335,28579561479,2599976
llama-1b,top_p,5,8.071639753,28594095744,2599958
llama-1b,top_p,5,9.082415994,28609683350,2899982
