sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
output_sweep,512,64,1,5.035435247,103175466277,4100041
output_sweep,512,64,1,6.042315673,103204125689,4100000
output_sweep,512,64,1,7.049500484,103230175488,3500000
output_sweep,512,64,1,8.059079385,103244731115,3300000
output_sweep,512,64,1,9.069896491,103259281431,3400000
output_sweep,512,64,2,.000846074,103307117796,400000
output_sweep,512,64,2,1.007212953,103326872750,400000
output_sweep,512,64,2,2.014352309,103345553610,4100000
output_sweep,512,64,2,3.022100889,103365479158,4100041
output_sweep,512,64,2,4.029081269,103395140092,4100000
output_sweep,512,64,2,5.035856669,103424490603,4100000
output_sweep,512,64,2,6.042820267,103454305590,4100000
output_sweep,512,64,2,7.049580677,103482281959,4591168
output_sweep,512,64,2,8.057822032,103500542899,3300033
output_sweep,512,64,2,9.068191962,103514949478,3400034
output_sweep,512,64,3,.000866233,103568780212,2696573
output_sweep,512,64,3,1.006988972,103588643625,400000
output_sweep,512,64,3,2.013821878,103607569907,3217373
output_sweep,512,64,3,3.021225677,103627991120,4100000
output_sweep,512,64,3,4.027808818,103657924698,4100000
output_sweep,512,64,3,5.034827329,103687723511,4103106
output_sweep,512,64,3,6.041453310,103717707443,4099958
output_sweep,512,64,3,7.048673375,103742207136,3400000
output_sweep,512,64,3,8.058760326,103756570686,598499
output_sweep,512,64,3,9.068230195,103771043427,3400000
output_sweep,512,128,1,.000954310,103822751547,400000
output_sweep,512,128,1,1.007214926,103842406281,1021131
output_sweep,512,128,1,2.014020047,103861044539,3749719
output_sweep,512,128,1,3.021699443,103881084100,4100000
output_sweep,512,128,1,4.028805816,103910643900,4100000
output_sweep,512,128,1,5.036067146,103940412073,4100041
output_sweep,512,128,1,6.042868759,103969860057,400000
output_sweep,512,128,1,7.050241105,103998095702,4100046
output_sweep,512,128,1,8.057596190,104016285475,3294581
output_sweep,512,128,1,9.068158977,104030724342,3400034
output_sweep,512,128,1,10.078245768,104045237061,3500000
output_sweep,512,128,1,11.087750041,104059811853,3400000
output_sweep,512,128,1,12.097654514,104074551256,1584265
output_sweep,512,128,2,.000845548,104123764997,400000
output_sweep,512,128,2,1.006887016,104143516717,400000
output_sweep,512,128,2,2.013682087,104162200079,400000
output_sweep,512,128,2,3.021171025,104182458023,4100000
output_sweep,512,128,2,4.027791829,104211969178,400000
output_sweep,512,128,2,5.035097397,104241758897,4100000
output_sweep,512,128,2,6.041342951,104271206148,400000
output_sweep,512,128,2,7.047970584,104299388754,4100000
output_sweep,512,128,2,8.055635831,104316689491,3400132
output_sweep,512,128,2,9.065933504,104331097291,3397962
output_sweep,512,128,2,10.076187493,104345550379,3400249
output_sweep,512,128,2,11.086081167,104360251819,3500132
output_sweep,512,128,2,12.095874464,104374952159,3483423
output_sweep,512,128,3,.000934962,104427898252,400362
output_sweep,512,128,3,1.006887879,104447563912,4484450
output_sweep,512,128,3,2.013961515,104466308127,4700000
output_sweep,512,128,3,3.021490626,104486864715,400000
output_sweep,512,128,3,4.028190776,104516616225,4097961
output_sweep,512,128,3,5.035173910,104544921268,4100000
output_sweep,512,128,3,6.041653815,104574745593,4100000
output_sweep,512,128,3,7.048400590,104603178321,4000000
output_sweep,512,128,3,8.056506513,104618624509,3399958
output_sweep,512,128,3,9.066902412,104633054343,3399916
output_sweep,512,128,3,10.076927782,104647646591,3400000
output_sweep,512,128,3,11.086985789,104662292854,3430872
output_sweep,512,128,3,12.096941258,104676968232,3400754
output_sweep,512,128,3,13.106771223,104691429926,3600000
output_sweep,512,256,1,.000872707,104739130426,1493421
output_sweep,512,256,1,1.007511590,104758867192,400000
output_sweep,512,256,1,2.014406418,104777565997,3383376
output_sweep,512,256,1,3.022711643,104797640591,4100000
output_sweep,512,256,1,4.029678494,104827278516,3689647
output_sweep,512,256,1,5.036932345,104856288696,4093573
output_sweep,512,256,1,6.043781846,104886381331,4077991
output_sweep,512,256,1,7.050519454,104914609042,4100000
output_sweep,512,256,1,8.058232912,104935413432,3400000
output_sweep,512,256,1,9.067737586,104949999759,3300000
output_sweep,512,256,1,10.077938967,104964432034,3364092
output_sweep,512,256,1,11.087695207,104978944998,3398069
output_sweep,512,256,1,12.097010908,104993678420,3399828
output_sweep,512,256,1,13.107060104,105008362891,3400000
output_sweep,512,256,1,14.116398869,105023205383,3500035
output_sweep,512,256,1,15.126342754,105038002037,400000
output_sweep,512,256,1,16.135988688,105052819259,3500000
output_sweep,512,256,1,17.146485736,105067952521,3400000
output_sweep,512,256,1,18.156761023,105082833770,3399677
output_sweep,512,256,2,.000839729,105132130336,1404768
output_sweep,512,256,2,1.006884172,105151647864,4700000
output_sweep,512,256,2,2.013896751,105170395374,400000
output_sweep,512,256,2,3.021138329,105190346251,4100000
output_sweep,512,256,2,4.028005971,105220185774,4100000
output_sweep,512,256,2,5.034667417,105251355006,4099958
output_sweep,512,256,2,6.041399243,105281337412,4102277
output_sweep,512,256,2,7.048346720,105308962647,4100000
output_sweep,512,256,2,8.056218591,105327253249,3398677
output_sweep,512,256,2,9.065903629,105341545449,3400000
output_sweep,512,256,2,10.075116805,105356113344,3499959
output_sweep,512,256,2,11.084730865,105370810572,3399964
output_sweep,512,256,2,12.094674716,105385478442,3400000
output_sweep,512,256,2,13.104751193,105400533091,3201305
output_sweep,512,256,2,14.115980173,105415078830,3400000
output_sweep,512,256,2,15.125773645,105429939632,3500000
output_sweep,512,256,2,16.135474557,105444773883,3400000
output_sweep,512,256,2,17.145201090,105459812236,3400143
output_sweep,512,256,2,18.155363591,105474667484,3399418
output_sweep,512,256,2,19.165105670,105489653895,3400000
output_sweep,512,256,3,.000872827,105531980386,400000
output_sweep,512,256,3,1.007084445,105551622060,4326309
